Sample	Accession	Merged	Seq
WT_E135_ATAC_1	SRR8029742	WT_E135_ATAC	ATAC
WT_E135_ATAC_2	SRR8029743	WT_E135_ATAC	ATAC
WT_E175_ATAC_1	SRR8029744	WT_E175_ATAC	ATAC
WT_E175_ATAC_2	SRR8029745	WT_E175_ATAC	ATAC
WT_E195_ATAC_1	SRR8029746	WT_E195_ATAC	ATAC
WT_E195_ATAC_2	SRR8029747	WT_E195_ATAC	ATAC
WT_P2_ATAC_1	SRR8029748	WT_P2_ATAC	ATAC
WT_P2_ATAC_2	SRR8029749	WT_P2_ATAC	ATAC
WT_E135_H3K4me3_1	SRR8029750	WT_E135_H3K4me3	K4
WT_E135_H3K4me3_2	SRR8029751	WT_E135_H3K4me3	K4
WT_E175_H3K4me3_1	SRR8029752	WT_E175_H3K4me3	K4
WT_E175_H3K4me3_2	SRR8029753	WT_E175_H3K4me3	K4
WT_E195_H3K4me3_1	SRR8029754	WT_E195_H3K4me3	K4
WT_E195_H3K4me3_2	SRR8029755	WT_E195_H3K4me3	K4
WT_P2_H3K4me3_1	SRR8029756	WT_P2_H3K4me3	K4
WT_P2_H3K4me3_2	SRR8029757	WT_P2_H3K4me3	K4
WT_E135_H3K9me3_1	SRR8029758	WT_E135_H3K9me3	K9
WT_E135_H3K9me3_2	SRR8029759	WT_E135_H3K9me3	K9
WT_E175_H3K9me3_1	SRR8029760	WT_E175_H3K9me3	K9
WT_E175_H3K9me3_2	SRR8029761	WT_E175_H3K9me3	K9
WT_E195_H3K9me3_1	SRR8029762	WT_E195_H3K9me3	K9
WT_E195_H3K9me3_2	SRR8029763	WT_E195_H3K9me3	K9
WT_P2_H3K9me3_1	SRR8029764	WT_P2_H3K9me3	K9
WT_P2_H3K9me3_2	SRR8029765	WT_P2_H3K9me3	K9
WT_E135_H3K27me3_1	SRR8029766	WT_E135_H3K27me3	K27
WT_E135_H3K27me3_2	SRR8029767	WT_E135_H3K27me3	K27
WT_E175_H3K27me3_1	SRR8029768	WT_E175_H3K27me3	K27
WT_E175_H3K27me3_2	SRR8029769	WT_E175_H3K27me3	K27
WT_E195_H3K27me3_1	SRR8029770	WT_E195_H3K27me3	K27
WT_E195_H3K27me3_2	SRR8029771	WT_E195_H3K27me3	K27
WT_P2_H3K27me3_1	SRR8029772	WT_P2_H3K27me3	K27
WT_P2_H3K27me3_2	SRR8029773	WT_P2_H3K27me3	K27
